loan_amnt;int_rate;installment;emp_length;annual_inc;loan_status;zip_code;dti;delinq_2yrs;fico_range_high;inq_last_6mths;mths_since_last_delinq;open_acc;pub_rec;revol_bal;revol_util;total_acc;last_fico_range_high;last_fico_range_low;collections_12_mths_ex_med;acc_now_delinq;tot_coll_amt;tot_cur_bal;open_acc_6m;open_act_il;open_il_12m;open_il_24m;mths_since_rcnt_il;total_bal_il;il_util;open_rv_12m;open_rv_24m;max_bal_bc;all_util;total_rev_hi_lim;inq_fi;total_cu_tl;inq_last_12m;acc_open_past_24mths;avg_cur_bal;bc_open_to_buy;bc_util;chargeoff_within_12_mths;delinq_amnt;mo_sin_old_il_acct;mo_sin_old_rev_tl_op;mo_sin_rcnt_rev_tl_op;mo_sin_rcnt_tl;mort_acc;mths_since_recent_bc;mths_since_recent_inq;num_accts_ever_120_pd;num_actv_bc_tl;num_actv_rev_tl;num_bc_sats;num_bc_tl;num_il_tl;num_op_rev_tl;num_rev_accts;num_rev_tl_bal_gt_0;num_sats;num_tl_120dpd_2m;num_tl_30dpd;num_tl_90g_dpd_24m;num_tl_op_past_12m;pct_tl_nvr_dlq;percent_bc_gt_75;pub_rec_bankruptcies;tax_liens;tot_hi_cred_lim;total_bal_ex_mort;total_bc_limit;total_il_high_credit_limit
3600.00.00;0,610416667;123.03.00;10.00;55000.0;1;190;0,271527778;00.00;679.00.00;01.00;30.00.00;07.00;00.00;2765.00.00;29.07.00;13.00;564.00.00;560.00.00;00.00;00.00;722.00.00;144904.0;02.00;02.00;00.00;01.00;21.00;4981.00.00;36.00.00;03.00;03.00;722.00.00;34.00.00;9300.00.00;03.00;01.00;04.00;04.00;20701.0;1506.00.00;37.02.00;00.00;00.00;148.00.00;128.00.00;03.00;03.00;01.00;04.00;04.00;02.00;02.00;04.00;02.00;05.00;03.00;04.00;09.00;04.00;07.00;00.00;00.00;00.00;03.00;76.09.00;00.00;00.00;00.00;178050.0;7746.00.00;2400.00.00;13734.0
24700.0;0,527083333;820.28.00;10.00;65000.0;1;577;16.06;01.00;719.00.00;04.00;06.00;22.00;00.00;21470.0;19.02;38.00.00;699.00.00;695.00.00;00.00;00.00;00.00;204396.0;01.00;01.00;00.00;01.00;19.00;18005.0;73.00.00;02.00;03.00;6472.00.00;29.00.00;111800.0;00.00;00.00;06.00;04.00;9733.00.00;57830.0;27.01.00;00.00;00.00;113.00.00;192.00.00;02.00;02.00;04.00;02.00;00.00;00.00;05.00;05.00;13.00;17.00;06.00;20.00;27.00.00;05.00;22.00;00.00;00.00;00.00;02.00;97.04.00;07.07;00.00;00.00;314017.0;39475.0;79300.0;24667.0
10400.0;22.45;289.91;03.00;104433.0;1;174;25.37.00;01.00;699.00.00;03.00;12.00;12.00;00.00;21929.0;64.05.00;35.00.00;704.00.00;700.00.00;00.00;00.00;00.00;331730.0;01.00;03.00;00.00;03.00;14.00;73839.0;84.00.00;04.00;07.00;9702.00.00;78.00.00;34000.0;02.00;01.00;03.00;10.00;27644.0;4567.00.00;77.05.00;00.00;00.00;128.00.00;210.00.00;04.00;04.00;06.00;04.00;01.00;00.00;04.00;06.00;05.00;09.00;10.00;07.00;19.00;06.00;12.00;00.00;00.00;00.00;04.00;96.06.00;60.00.00;00.00;00.00;439570.0;95768.0;20300.0;88097.0
20000.0;09.17;637.58.00;10.00;180000.0;1;550;0,629861111;00.00;684.00.00;00.00;49.00.00;12.00;00.00;87329.0;84.05.00;27.00.00;654.00.00;650.00.00;00.00;00.00;00.00;360358.0;00.00;02.00;00.00;02.00;18.00;29433.0;63.00.00;02.00;03.00;13048.0;74.00.00;94200.0;01.00;00.00;01.00;06.00;30030.0;00.00;102.09.00;00.00;00.00;142.00.00;306.00.00;10.00;10.00;04.00;12.00;10.00;00.00;04.00;06.00;04.00;05.00;07.00;09.00;16.00;06.00;12.00;00.00;00.00;00.00;02.00;96.03.00;100.00.00;00.00;00.00;388852.0;116762.0;31500.0;46452.0
20000.0;08.49;631.26.00;10.00;85000.0;1;293;0,750694444;01.00;709.00.00;00.00;03.00;08.00;00.00;826.00.00;05.07;15.00;674.00.00;670.00.00;00.00;00.00;00.00;141601.0;00.00;03.00;00.00;04.00;13.00;27111.0;75.00.00;00.00;00.00;640.00.00;55.00.00;14500.0;01.00;00.00;02.00;04.00;17700.0;13674.0;05.07;00.00;00.00;149.00.00;55.00.00;32.00.00;13.00;03.00;32.00.00;08.00;01.00;02.00;02.00;03.00;03.00;09.00;03.00;03.00;02.00;08.00;00.00;00.00;01.00;00.00;93.03.00;00.00;00.00;00.00;193390.0;27937.0;14500.0;36144.0
8000.00.00;11.48;263.74;10.00;42000.0;1;290;34.08.00;00.00;704.00.00;00.00;75.00.00;08.00;00.00;7034.00.00;39.01.00;18.00;679.00.00;675.00.00;00.00;00.00;00.00;199696.0;00.00;02.00;02.00;03.00;10.00;106748.0;72.00.00;00.00;02.00;4725.00.00;49.00.00;18000.0;00.00;00.00;01.00;05.00;28528.0;9966.00.00;41.04.00;00.00;00.00;155.00.00;253.00.00;15.00;10.00;01.00;50.00.00;10.00;01.00;03.00;03.00;03.00;06.00;05.00;05.00;11.00;03.00;08.00;00.00;00.00;00.00;02.00;94.04.00;33.03.00;00.00;00.00;256513.0;113782.0;17000.0;135513.0
16000.0;0,642361111;379.39.00;10.00;48000.0;1;297;33.18.00;00.00;689.00.00;00.00;33.00.00;11.00;02.00;19108.0;29.06.00;19.00;664.00.00;660.00.00;00.00;00.00;00.00;31329.0;01.00;02.00;01.00;02.00;06.00;12221.0;91.00.00;01.00;04.00;14982.0;65.00.00;284700.0;00.00;00.00;01.00;06.00;2848.00.00;263953.0;17.06;00.00;00.00;131.00.00;294.00.00;11.00;06.00;02.00;11.00;11.00;02.00;06.00;09.00;06.00;08.00;06.00;09.00;11.00;09.00;11.00;00.00;00.00;00.00;02.00;78.09.00;00.00;00.00;02.00;298100.0;31329.0;281300.0;13400.0
6000.00.00;07.49;186.61;10.00;100000.0;1;750;13.28;01.00;699.00.00;01.00;15.00;09.00;00.00;8563.00.00;72.00.00;16.00;719.00.00;715.00.00;00.00;00.00;00.00;116195.0;00.00;02.00;00.00;00.00;28.00.00;12525.0;35.00.00;00.00;01.00;2260.00.00;45.00.00;11900.0;00.00;01.00;01.00;01.00;12911.0;437.00.00;88.05.00;00.00;00.00;124.00.00;259.00.00;18.00;18.00;02.00;36.00.00;06.00;00.00;02.00;04.00;02.00;06.00;04.00;05.00;09.00;04.00;09.00;00.00;00.00;00.00;00.00;93.07.00;50.00.00;00.00;00.00;156354.0;22741.0;3800.00.00;36083.0
4225.00.00;0,642361111;146.16.00;05.00;35000.0;0;672;15.22;02.00;729.00.00;00.00;18.00;06.00;00.00;1058.00.00;24.06.00;06.00;499.00.00;00.00;00.00;00.00;00.00;4888.00.00;00.00;01.00;00.00;00.00;47.00.00;3830.00.00;22.00;00.00;00.00;367.00.00;22.00;4300.00.00;00.00;00.00;00.00;00.00;815.00.00;2233.00.00;14.01;00.00;00.00;47.00.00;53.00.00;26.00.00;26.00.00;00.00;26.00.00;14.00;00.00;01.00;02.00;03.00;03.00;01.00;05.00;05.00;02.00;06.00;00.00;00.00;00.00;00.00;66.07.00;00.00;00.00;00.00;21822.0;4888.00.00;2600.00.00;17522.0
12000.0;0,470833333;391.62;01.00;98000.0;1;993;24.04.00;00.00;694.00.00;00.00;33.00.00;15.00;01.00;20462.0;62.08.00;39.00.00;754.00.00;750.00.00;00.00;00.00;5930.00.00;374585.0;00.00;04.00;01.00;03.00;09.00;82819.0;66.00.00;01.00;02.00;12597.0;65.00.00;32600.0;01.00;01.00;00.00;05.00;26756.0;3884.00.00;83.09.00;00.00;00.00;147.00.00;166.00.00;09.00;09.00;08.00;09.00;15.00;04.00;03.00;05.00;03.00;06.00;17.00;08.00;14.00;05.00;15.00;00.00;00.00;00.00;02.00;87.02.00;66.07.00;00.00;00.00;478544.0;103281.0;24100.0;120544.0
